Gorovje,Izračun: Nedelja 06.09.2026 02 CEST,Ne 08 CEST,Ne 11 CEST,Ne 14 CEST,Ne 17 CEST,Ne 20 CEST,Ne 23 CEST,Po 02 CEST,Po 05 CEST,Po 08 CEST,Po 11 CEST,Po 14 CEST,Po 17 CEST,Po 20 CEST,Po 23 CEST,To 02 CEST,To 05 CEST,To 08 CEST,To 11 CEST,To 14 CEST,To 17 CEST,To 20 CEST,To 23 CEST,Sr 02 CEST,Sr 05 CEST,Sr 08 CEST,Sr 11 CEST,Sr 14 CEST,Sr 17 CEST,Sr 20 CEST,Sr 23 CEST,Če 02 CEST
KAMNIŠKO-SAVINJSKE ALPE,na 2500 m,79 %,69 %,84 %,83 %,60 %,60 %,57 %,46 %,46 %,47 %,48 %,59 %,68 %,60 %,61 %,65 %,67 %,67 %,70 %,55 %,54 %,59 %,57 %,63 %,62 %,63 %,73 %,75 %,63 %,69 %,75 %
KAMNIŠKO-SAVINJSKE ALPE,na 2000 m,85 %,86 %,75 %,73 %,69 %,70 %,68 %,62 %,58 %,53 %,64 %,66 %,71 %,59 %,59 %,62 %,63 %,69 %,64 %,52 %,61 %,65 %,59 %,70 %,74 %,75 %,87 %,88 %,66 %,84 %,74 %
KAMNIŠKO-SAVINJSKE ALPE,na 1500 m,77 %,71 %,59 %,57 %,62 %,64 %,66 %,66 %,61 %,60 %,53 %,53 %,55 %,57 %,57 %,57 %,58 %,60 %,52 %,45 %,54 %,66 %,60 %,67 %,75 %,72 %,79 %,94 %,82 %,96 %,94 %
KAMNIŠKO-SAVINJSKE ALPE,na 1000 m,78 %,61 %,51 %,49 %,63 %,65 %,66 %,68 %,65 %,53 %,46 %,47 %,61 %,54 %,54 %,53 %,53 %,53 %,46 %,41 %,53 %,61 %,64 %,68 %,72 %,62 %,69 %,88 %,95 %,97 %,94 %
KAMNIŠKO-SAVINJSKE ALPE,na 500 m,80 %,60 %,50 %,48 %,63 %,66 %,67 %,70 %,66 %,52 %,46 %,47 %,64 %,55 %,54 %,52 %,52 %,52 %,45 %,42 %,54 %,60 %,64 %,68 %,70 %,61 %,69 %,89 %,96 %,97 %,94 %
KARAVANKE,na 5500 m,25 %,30 %,24 %,28 %,38 %,49 %,50 %,59 %,58 %,58 %,62 %,68 %,70 %,93 %,72 %,66 %,52 %,46 %,60 %,63 %,66 %,62 %,65 %,53 %,57 %,38 %,27 %,87 %,80 %,82 %,100 %
KARAVANKE,na 3000 m,48 %,27 %,22 %,42 %,44 %,33 %,32 %,25 %,37 %,47 %,44 %,74 %,76 %,64 %,70 %,68 %,51 %,46 %,54 %,62 %,53 %,65 %,59 %,56 %,64 %,70 %,75 %,68 %,67 %,80 %,83 %
KARAVANKE,na 2500 m,81 %,64 %,38 %,55 %,65 %,56 %,64 %,46 %,44 %,53 %,45 %,60 %,75 %,64 %,66 %,66 %,64 %,59 %,66 %,69 %,53 %,58 %,62 %,66 %,70 %,74 %,82 %,60 %,63 %,81 %,74 %
KARAVANKE,na 2000 m,88 %,84 %,73 %,65 %,62 %,67 %,66 %,64 %,62 %,58 %,57 %,62 %,70 %,63 %,62 %,61 %,65 %,62 %,67 %,66 %,55 %,52 %,65 %,77 %,80 %,86 %,84 %,73 %,72 %,92 %,80 %
KARAVANKE,na 1500 m,87 %,80 %,67 %,58 %,58 %,63 %,62 %,66 %,61 %,60 %,57 %,56 %,58 %,58 %,63 %,64 %,68 %,65 %,53 %,52 %,51 %,56 %,64 %,73 %,79 %,83 %,74 %,87 %,91 %,98 %,93 %
KARAVANKE,na 1000 m,92 %,71 %,53 %,46 %,48 %,54 %,61 %,64 %,64 %,57 %,45 %,47 %,50 %,56 %,58 %,60 %,69 %,62 %,42 %,41 %,49 %,52 %,59 %,66 %,74 %,66 %,58 %,78 %,94 %,95 %,96 %
KARAVANKE,na 500 m,99 %,68 %,50 %,45 %,58 %,67 %,77 %,80 %,80 %,54 %,43 %,46 %,60 %,72 %,77 %,78 %,77 %,58 %,40 %,41 %,62 %,77 %,78 %,82 %,83 %,62 %,56 %,78 %,98 %,96 %,98 %
POHORJE,na 5500 m,21 %,33 %,36 %,28 %,32 %,41 %,54 %,61 %,59 %,57 %,52 %,63 %,62 %,80 %,88 %,78 %,59 %,48 %,47 %,54 %,59 %,58 %,56 %,42 %,32 %,70 %,35 %,33 %,76 %,81 %,89 %
POHORJE,na 3000 m,39 %,18 %,19 %,43 %,38 %,34 %,22 %,16 %,17 %,44 %,49 %,46 %,71 %,68 %,64 %,70 %,80 %,69 %,55 %,52 %,43 %,38 %,51 %,52 %,52 %,67 %,64 %,65 %,60 %,68 %,76 %
POHORJE,na 2500 m,72 %,57 %,72 %,73 %,69 %,67 %,46 %,46 %,39 %,44 %,48 %,49 %,63 %,66 %,58 %,60 %,69 %,70 %,71 %,63 %,56 %,46 %,51 %,57 %,57 %,65 %,58 %,95 %,55 %,62 %,72 %
POHORJE,na 2000 m,90 %,87 %,75 %,70 %,74 %,73 %,68 %,66 %,62 %,52 %,50 %,60 %,59 %,58 %,61 %,54 %,58 %,66 %,61 %,54 %,55 %,55 %,56 %,60 %,65 %,69 %,72 %,84 %,58 %,68 %,77 %
POHORJE,na 1500 m,76 %,73 %,61 %,57 %,67 %,67 %,65 %,65 %,62 %,56 %,48 %,50 %,50 %,54 %,56 %,58 %,59 %,57 %,49 %,44 %,44 %,55 %,54 %,55 %,67 %,68 %,61 %,67 %,74 %,85 %,90 %
POHORJE,na 1000 m,69 %,49 %,42 %,41 %,62 %,68 %,70 %,71 %,58 %,39 %,33 %,36 %,53 %,52 %,52 %,55 %,50 %,40 %,34 %,33 %,48 %,47 %,62 %,66 %,57 %,51 %,41 %,49 %,78 %,96 %,97 %
